site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
mivo.com,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,
moeni.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
mokeedev.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
monova.org,-1,-12,6,2,0,0,0,0,0,0,0,-4,1,0,,
moonwalk.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
morgenweb.de,563,4554,1706,458,-1,66,20,84,0,93,265,19,1,1,,
mp3juices.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
mspfa.com,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
mujeres-desnudas.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
multiup.eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
mundodeportivo.com,9,27,31,2,0,0,2,2,0,0,4,1,0,0,,
